fpl_code,fbref_code,fotmob_id,fanteam_id,ref_name,fotmob_name,current_team,current_team_id,parent_team,parent_team_id,height_cm,preferred_foot,age,country,market_value_€m,primary_position,listed_positions,is_injured,expected_return,sample_mins,fin_skill,npxg,sot,xa,bcc,tack_w,tack_att,acc_pass,yc,s_rc,og,s_dribb,s_cross,offside,int,block,recov,clear,goal_oa,foul_w,foul_l,eltg,p60_gstart,p90_gstart,on_pens,g,sv_p_xgot,europe_mins_ratio,fac_mins_ratio,lc_mins_ratio
223094,1f44ac21,737066,1677501.0,Erling Haaland,Erling Haaland,Manchester City,8456,Manchester City,8456,194.0,left,25,Norway,150.44744,ST,ST,False,,17846.0,1.0653,0.72311,1.82074,0.06527,0.24092,0.12761,0.2242,10.02413,0.03678,0.00033,0.00014,0.53462,0.03228,0.18426,0.1242,0.05447,1.40781,0.7567,0.01402,0.68742,0.79761,0.00022,0.97689,0.67587,0.9,0.86986,0.0,0.95,0.836,0.58
118748,e342ad68,292462,45106.0,Mohamed Salah,Mohamed Salah,Liverpool,8650,Liverpool,8650,175.0,left,33,Egypt,40.10307,RW,RW/AM,False,,20535.0,1.02954,0.45451,1.35436,0.1887,0.52412,0.27387,0.49375,24.6699,0.02184,0.00035,0.0001,1.29291,0.38253,0.49627,0.19729,0.02467,2.75815,0.16551,0.00837,0.84713,0.55019,0.00312,0.98843,0.74367,0.94,0.5719,0.0,0.95,0.7376,0.86133
231747,50e6dc35,706297,201968.0,Jean-Philippe Mateta,Jean-Philippe Mateta,Crystal Palace,9826,Crystal Palace,9826,192.0,right,28,France,37.62512,ST,ST,False,,10128.0,1.02377,0.3955,0.99456,0.05573,0.14575,0.26114,0.44809,8.74918,0.05367,0.00054,0.00024,0.62653,0.16219,0.63774,0.20734,0.1125,2.1829,0.8856,0.00753,0.79296,0.86267,0.00036,0.90867,0.4227,0.8,0.49338,0.0,0.7,0.9,0.9
219168,8e92be30,690107,2200000.0,Alexander Isak,Alexander Isak,Liverpool,8650,Liverpool,8650,192.0,right,26,Sweden,132.1,ST,ST,False,,13835.0,0.99187,0.47826,1.20191,0.09592,0.23247,0.15713,0.34571,13.26207,0.05414,0.00094,0.00029,1.05315,0.08591,0.50264,0.12633,0.06462,1.74305,0.48284,0.00767,0.67243,0.88068,0.00042,0.94255,0.28265,0.02,0.47658,0.0,0.95,0.9,0.9
60689,4e9a0555,169719,57345.0,Chris Wood,Chris Wood,Nottingham Forest,10203,Nottingham Forest,10203,191.0,right,33,New Zealand,6.9471,ST,ST,True,,12289.0,1.01275,0.35248,0.88633,0.04302,0.11401,0.17253,0.27618,10.1665,0.02717,0.00055,0.0002,0.22542,0.03298,0.6561,0.09477,0.15915,1.61638,0.78387,0.00662,0.73308,0.81861,0.00033,0.98332,0.45678,0.88,0.4543,0.0,0.7,0.9,0.9
224117,4d5a9185,664500,4329253.0,Viktor Gyökeres,Viktor Gyökeres,Arsenal,9825,Arsenal,9825,187.0,right,27,Sweden,74.9877,ST,ST/LW,True,,16699.0,1.10589,0.37556,1.05073,0.07844,0.25866,0.18241,0.31811,10.4583,0.05819,0.00087,0.00013,1.02015,0.12738,0.33451,0.11394,0.07874,2.39578,0.5903,0.00799,1.65438,0.99029,0.00023,0.96235,0.80443,0.25,0.44298,0.0,0.95,0.584,0.52
216646,2500cef9,666857,242911.0,Yoane Wissa,Yoane Wissa,Newcastle United,10261,Newcastle United,10261,176.0,right,29,DR Congo,28.77488,ST,CM/LW/AM/ST,True,,11373.0,1.01472,0.42192,0.89141,0.07442,0.18464,0.42533,0.73775,12.54393,0.09386,0.00094,0.00038,0.68279,0.08399,0.47075,0.26875,0.15682,2.8249,0.51963,0.00682,1.50399,1.02644,0.00052,0.98674,0.47443,0.1,0.43919,0.0,0.7,0.648,0.84
154566,e77dc3b2,591734,230753.0,Dominic Solanke-Mitchell,Dominic Solanke,Tottenham Hotspur,8586,Tottenham Hotspur,8586,187.0,right,28,England,46.6283,ST,ST,True,,17646.0,0.93324,0.36115,0.85465,0.05653,0.14505,0.31294,0.59115,10.32436,0.03933,0.00057,0.00966,0.83611,0.0564,0.32381,0.13813,0.19714,2.12169,0.93327,0.00728,1.38246,1.28275,0.00046,0.9822,0.67202,0.8,0.42552,0.0,0.91628,0.6676,0.84467
517052,9c36ed83,1197347,3590554.0,Nicolas Jackson,Nicolas Jackson,Bayern München,9823,Chelsea,8455,187.0,right,24,Senegal,53.54609,ST,AM/LW/ST,False,,8097.0,0.9486,0.44552,1.10408,0.08216,0.24335,0.45276,0.68992,13.54257,0.15376,0.00147,0.00029,0.9991,0.06763,0.69744,0.17711,0.0759,2.2961,0.43637,0.00783,1.20035,1.17579,0.00061,0.91133,0.32577,0.0,0.42262,0.0,0.95,0.8132,0.87933
244851,dc7f8a28,1096353,242906.0,Cole Palmer,Cole Palmer,Chelsea,8455,Chelsea,8455,185.0,left,23,England,111.04209,AM,RW/AM/LW,False,,8977.0,0.96808,0.3293,1.19695,0.22227,0.55201,0.54073,0.89908,29.64732,0.13339,0.00074,0.00012,1.39932,0.68541,0.17259,0.40676,0.03584,3.10023,0.44375,0.00611,1.2262,0.56928,0.01023,0.93187,0.57146,0.9,0.41833,0.0,0.95,0.9,0.9
178301,aed3a70f,540088,183114.0,Ollie Watkins,Ollie Watkins,Aston Villa,10252,Aston Villa,10252,180.0,right,29,England,64.72795,ST,ST,False,,18263.0,0.97142,0.37451,1.00241,0.06371,0.19599,0.25559,0.3898,11.84577,0.05256,0.00039,0.00012,0.6849,0.05915,0.55245,0.21822,0.07881,1.65402,0.56226,0.00697,1.12948,0.8372,0.00582,0.96779,0.63534,0.45,0.41358,0.0,0.95,0.836,0.58
205651,b66315ae,576165,32986.0,Gabriel Fernando de Jesus,Gabriel Jesus,Arsenal,9825,Arsenal,9825,175.0,right,28,Brazil,20.59383,ST,RW/ST,True,,10016.0,0.96726,0.41553,1.05502,0.10874,0.31973,0.62129,0.9902,20.54193,0.11697,0.00092,0.00013,1.4896,0.11795,0.67827,0.40568,0.04543,2.84412,0.53967,0.00745,1.45409,1.30739,0.00022,0.95622,0.47363,0.0,0.40192,0.0,0.95,0.648,0.84
500058,003cf4d1,1416696,,Jayden Danns,Jayden Danns,Liverpool U21,1070259,Liverpool,8650,183.0,right,19,England,0.93436,ST,ST,True,,193.0,1.02746,0.3837,1.23817,0.10381,0.42873,0.38284,0.64908,18.98015,0.12624,0.00348,0.00083,0.88356,0.19507,0.60437,0.2252,0.06739,2.49108,0.59814,0.00477,1.26405,1.32354,0.00124,0.91773,0.33564,0.0,0.39424,0.0,0.7,0.584,0.52
438234,0e0102eb,839204,4059073.0,Omar Marmoush,Omar Marmoush,Manchester City,8456,Manchester City,8456,183.0,right,26,Egypt,74.03155,ST,RW/AM/LW/ST,False,,9680.0,1.02179,0.37382,1.09788,0.10512,0.3506,0.43511,0.69099,14.89046,0.04937,0.00071,0.0003,1.38312,0.52607,0.41427,0.30551,0.06332,2.65621,0.23222,0.00641,1.68656,0.9306,0.00047,0.90698,0.34499,0.09,0.39191,0.0,0.95,0.6736,0.54133
50175,ce5143da,113836,23331.0,Danny Welbeck,Danny Welbeck,Brighton & Hove Albion,10204,Brighton & Hove Albion,10204,185.0,right,35,England,4.20847,ST,AM/ST,False,,10450.0,0.95624,0.32213,0.81901,0.05631,0.14715,0.39018,0.69469,13.85562,0.06024,0.00061,0.00024,0.58018,0.02879,0.2188,0.18792,0.07973,1.72295,0.67851,0.00592,0.75553,0.81141,0.00961,0.93779,0.39556,0.7,0.38545,0.0,0.59222,0.9,0.9
502500,dc45ac24,1302005,3879507.0,Igor Thiago Nascimento Rodrigues,Igor Thiago,Brentford,9937,Brentford,9937,191.0,right,24,Brazil,25.51864,ST,ST,False,,2493.0,1.05556,0.27967,1.14327,0.05411,0.11784,0.16503,0.28301,10.84688,0.05095,0.00135,0.00077,0.7376,0.19317,0.68023,0.18434,0.09719,2.27911,1.43704,0.00489,0.78622,1.65141,0.00095,0.93931,0.5393,0.8,0.38369,0.0,0.95,0.584,0.52
